tamanho do vetor	tempo decorrido
10	0.000040
20	0.000070
30	0.000070
40	0.000110
50	0.000170
60	0.000220
70	0.000320
80	0.000390
90	0.000500
100	0.000580
110	0.000760
120	0.000880
130	0.001000
140	0.001130
150	0.001540
160	0.001520
170	0.001670
180	0.001910
190	0.001970
200	0.002240
210	0.002540
220	0.004310
230	0.003120
240	0.003250
250	0.003850
260	0.004430
270	0.004160
280	0.005360
290	0.004830
300	0.005140
310	0.006140
320	0.006280
330	0.006790
340	0.008040
350	0.006970
360	0.007890
370	0.007860
380	0.008660
390	0.009200
400	0.008950
410	0.010470
420	0.010970
430	0.012010
440	0.011680
450	0.013890
460	0.015470
470	0.014700
480	0.014640
490	0.017090
500	0.017580
510	0.017670
520	0.019030
530	0.017970
540	0.019300
550	0.020220
560	0.020850
570	0.023650
580	0.023630
590	0.023100
600	0.023930
610	0.025610
620	0.024810
630	0.027980
640	0.025880
650	0.028590
660	0.029310
670	0.030400
680	0.031360
690	0.032850
700	0.033630
710	0.031120
720	0.029660
730	0.032760
740	0.031360
750	0.035520
760	0.034350
770	0.036490
780	0.039500
790	0.038410
800	0.040020
810	0.039990
820	0.053950
830	0.046040
840	0.047820
850	0.055090
860	0.044610
870	0.044810
880	0.046400
890	0.046950
900	0.049270
910	0.047140
920	0.050810
930	0.049430
940	0.050370
950	0.051230
960	0.062250
970	0.059680
980	0.063630
990	0.056520
1000	0.057730
1010	0.058350
1020	0.061730
1030	0.065630
1040	0.068960
1050	0.064270
1060	0.064190
1070	0.066050
1080	0.068020
1090	0.067170
1100	0.070020
1110	0.070850
1120	0.073380
1130	0.073740
1140	0.075840
1150	0.078570
1160	0.079190
1170	0.080570
1180	0.083710
1190	0.084480
1200	0.086380
1210	0.087630
1220	0.091340
1230	0.090670
1240	0.092370
1250	0.096680
1260	0.096450
1270	0.096680
1280	0.099270
1290	0.100500
1300	0.103350
1310	0.103760
1320	0.106630
1330	0.111060
1340	0.110640
1350	0.112760
1360	0.114090
1370	0.118060
1380	0.123610
1390	0.124350
1400	0.124620
1410	0.125900
1420	0.125740
1430	0.128090
1440	0.129270
1450	0.152880
1460	0.160080
1470	0.162980
1480	0.161260
1490	0.139610
1500	0.145000
1510	0.153410
1520	0.162980
1530	0.163570
1540	0.160660
1550	0.158320
1560	0.179010
1570	0.186850
1580	0.177590
1590	0.178590
1600	0.176610
1610	0.169280
1620	0.171040
1630	0.190960
1640	0.206890
1650	0.211260
1660	0.196460
1670	0.184930
1680	0.187150
1690	0.188770
1700	0.219460
1710	0.216270
1720	0.212560
1730	0.222240
1740	0.208320
1750	0.201790
1760	0.208770
1770	0.210360
1780	0.225090
1790	0.217440
1800	0.219690
1810	0.230790
1820	0.243610
1830	0.248020
1840	0.232720
1850	0.230700
1860	0.274350
1870	0.259260
1880	0.239830
1890	0.241260
1900	0.246460
1910	0.251540
1920	0.252920
1930	0.257170
1940	0.258510
1950	0.261620
1960	0.265610
1970	0.268450
1980	0.269440
1990	0.272430
2000	0.275430
2010	0.274290
2020	0.285030
2030	0.285860
2040	0.286880
2050	0.288970
2060	0.295280
2070	0.297520
2080	0.299840
2090	0.312260
2100	0.306250
2110	0.308060
2120	0.315060
2130	0.316770
2140	0.320310
2150	0.325470
2160	0.326180
2170	0.329890
2180	0.334130
2190	0.337030
2200	0.342020
2210	0.343250
2220	0.348680
2230	0.352690
2240	0.351800
2250	0.362480
2260	0.363200
