tamanho do vetor	tempo decorrido
10	0.000030
20	0.000040
30	0.000060
40	0.000090
50	0.000130
60	0.000170
70	0.000220
80	0.000290
90	0.000360
100	0.000440
110	0.000520
120	0.000690
130	0.000720
140	0.000820
150	0.000960
160	0.001090
170	0.001770
180	0.001540
190	0.001510
200	0.001630
210	0.001790
220	0.002200
230	0.002170
240	0.002440
250	0.002700
260	0.002780
270	0.003770
280	0.003540
290	0.003460
300	0.003730
310	0.003950
320	0.004320
330	0.004770
340	0.004740
350	0.005040
360	0.006960
370	0.006570
380	0.005970
390	0.007120
400	0.006800
410	0.006980
420	0.007330
430	0.007840
440	0.008670
450	0.008910
460	0.009520
470	0.009290
480	0.010450
490	0.009900
500	0.010590
510	0.011280
520	0.011240
530	0.012790
540	0.012560
550	0.012880
560	0.013800
570	0.014730
580	0.014630
590	0.015290
600	0.015480
610	0.015790
620	0.016200
630	0.016940
640	0.018240
650	0.018260
660	0.018930
670	0.020650
680	0.019730
690	0.019570
700	0.020560
710	0.021170
720	0.021180
730	0.022770
740	0.022570
750	0.023760
760	0.024060
770	0.024490
780	0.024890
790	0.026510
800	0.026490
810	0.027470
820	0.027480
830	0.028650
840	0.029020
850	0.030190
860	0.030360
870	0.031070
880	0.032400
890	0.032880
900	0.032840
910	0.034380
920	0.034260
930	0.035780
940	0.036550
950	0.037060
960	0.037300
970	0.038380
980	0.039620
990	0.040720
1000	0.040970
1010	0.042920
1020	0.042550
1030	0.044020
1040	0.044430
1050	0.045760
1060	0.045360
1070	0.046760
1080	0.047140
1090	0.048650
1100	0.049310
1110	0.050560
1120	0.050550
1130	0.052210
1140	0.053160
1150	0.055280
1160	0.057040
1170	0.058160
1180	0.057840
1190	0.059710
1200	0.060390
1210	0.066500
1220	0.062610
1230	0.063300
1240	0.063820
1250	0.065910
1260	0.065660
1270	0.069490
1280	0.068160
1290	0.070500
1300	0.071580
1310	0.072560
1320	0.072850
1330	0.075370
1340	0.075390
1350	0.076920
1360	0.077470
1370	0.079360
1380	0.079250
1390	0.081940
1400	0.081390
1410	0.083730
1420	0.084690
1430	0.086920
1440	0.087660
1450	0.089520
1460	0.089260
1470	0.091230
1480	0.091410
1490	0.094530
1500	0.094000
1510	0.096190
1520	0.096460
1530	0.099850
1540	0.098880
1550	0.102570
1560	0.101460
1570	0.104430
1580	0.104210
1590	0.107550
1600	0.106780
1610	0.110110
1620	0.109970
1630	0.112570
1640	0.113640
1650	0.116020
1660	0.115560
1670	0.121820
1680	0.117820
1690	0.121010
1700	0.120200
1710	0.123890
1720	0.124850
1730	0.127860
1740	0.126600
1750	0.131380
1760	0.129100
1770	0.133880
1780	0.133180
1790	0.137190
1800	0.134830
1810	0.139670
1820	0.138190
1830	0.143350
1840	0.140970
1850	0.146550
1860	0.145860
1870	0.149720
1880	0.147310
1890	0.150790
1900	0.151990
1910	0.155930
1920	0.154600
1930	0.158840
1940	0.158380
1950	0.162640
1960	0.160970
1970	0.164810
1980	0.163840
1990	0.169070
2000	0.168430
2010	0.172600
2020	0.170820
2030	0.175700
2040	0.174320
2050	0.181170
2060	0.177390
2070	0.182450
2080	0.180710
2090	0.186850
2100	0.184970
2110	0.188610
2120	0.188180
2130	0.193520
2140	0.192620
2150	0.196140
2160	0.194800
2170	0.200080
2180	0.199020
2190	0.203720
2200	0.201190
2210	0.209960
2220	0.205370
2230	0.212570
2240	0.210660
2250	0.215960
2260	0.215470
2270	0.220520
2280	0.216680
2290	0.222300
2300	0.220950
2310	0.229690
2320	0.257630
2330	0.282530
2340	0.251600
2350	0.302500
2360	0.266560
2370	0.260910
2380	0.245800
2390	0.283830
2400	0.249950
2410	0.299310
2420	0.290580
2430	0.255980
2440	0.320010
2450	0.340190
2460	0.270980
2470	0.281580
2480	0.269240
2490	0.272950
2500	0.269510
2510	0.273760
2520	0.265620
2530	0.284120
2540	0.277650
2550	0.289640
2560	0.274020
2570	0.281580
2580	0.294250
2590	0.293670
2600	0.283700
2610	0.319530
2620	0.363610
2630	0.390610
2640	0.302430
2650	0.321610
2660	0.296410
2670	0.309760
2680	0.303040
2690	0.315250
2700	0.323760
2710	0.312560
2720	0.308760
2730	0.332820
2740	0.339020
2750	0.354230
2760	0.317570
2770	0.328790
2780	0.323610
2790	0.335840
2800	0.328540
2810	0.338730
2820	0.350290
2830	0.343820
2840	0.337020
2850	0.348720
2860	0.342030
2870	0.367510
2880	0.384380
2890	0.401380
2900	0.353600
2910	0.398420
2920	0.422560
2930	0.372650
2940	0.362180
2950	0.375380
2960	0.368260
2970	0.381380
2980	0.373230
2990	0.398380
3000	0.379140
3010	0.392280
3020	0.384150
3030	0.392210
3040	0.388460
3050	0.400880
3060	0.393370
3070	0.402830
3080	0.406460
3090	0.412940
3100	0.406050
3110	0.433070
3120	0.409110
3130	0.422720
3140	0.415360
3150	0.429360
3160	0.421680
3170	0.431790
3180	0.426030
3190	0.445190
3200	0.432480
3210	0.441780
