tamanho do vetor	tempo decorrido(mseg)
10	0.000020
20	0.000020
30	0.000040
40	0.000030
50	0.000040
60	0.000050
70	0.000070
80	0.000090
90	0.000100
100	0.000120
110	0.000140
120	0.000170
130	0.000190
140	0.000210
150	0.000240
160	0.000270
170	0.000300
180	0.000350
190	0.000370
200	0.000410
210	0.000530
220	0.000500
230	0.000520
240	0.000570
250	0.000610
260	0.000650
270	0.000700
280	0.001180
290	0.000810
300	0.001390
310	0.000910
320	0.000960
330	0.001100
340	0.001070
350	0.001140
360	0.001310
370	0.001270
380	0.001340
390	0.001390
400	0.001490
410	0.001930
420	0.001620
430	0.002120
440	0.001820
450	0.002310
460	0.001920
470	0.002000
480	0.002200
490	0.002180
500	0.002820
510	0.002340
520	0.002430
530	0.002730
540	0.003100
550	0.002720
560	0.002780
570	0.002890
580	0.002980
590	0.003090
600	0.003190
610	0.003300
620	0.003540
630	0.003490
640	0.003600
650	0.003750
660	0.004000
670	0.003920
680	0.004490
690	0.004150
700	0.004370
710	0.004390
720	0.005180
730	0.004670
740	0.004780
750	0.004940
760	0.005280
770	0.005390
780	0.005560
790	0.005580
800	0.005670
810	0.005710
820	0.005930
830	0.005990
840	0.006150
850	0.006260
860	0.006380
870	0.006830
880	0.006730
890	0.006910
900	0.007040
910	0.007310
920	0.007250
930	0.007450
940	0.007570
950	0.007870
960	0.007920
970	0.008100
980	0.008380
990	0.008400
1000	0.008520
1010	0.008720
1020	0.008860
1030	0.009030
1040	0.009270
1050	0.009550
1060	0.009570
1070	0.009760
1080	0.010030
1090	0.010080
1100	0.010300
1110	0.010450
1120	0.010640
1130	0.010890
1140	0.010980
1150	0.011210
1160	0.011430
1170	0.011580
1180	0.011840
1190	0.011940
1200	0.012190
1210	0.012440
1220	0.012570
1230	0.012890
1240	0.013000
1250	0.013230
1260	0.013420
1270	0.013690
1280	0.013800
1290	0.014090
1300	0.014370
1310	0.014520
1320	0.014870
1330	0.014900
1340	0.015150
1350	0.015340
1360	0.015620
1370	0.015850
1380	0.016060
1390	0.016290
1400	0.016420
1410	0.016720
1420	0.016910
1430	0.017180
1440	0.017410
1450	0.017610
1460	0.017900
1470	0.018270
1480	0.018350
1490	0.018630
1500	0.018860
1510	0.019140
1520	0.019350
1530	0.019500
1540	0.019850
1550	0.020100
1560	0.020430
1570	0.020560
1580	0.021030
1590	0.021200
1600	0.021540
1610	0.021680
1620	0.022030
1630	0.022320
1640	0.022400
1650	0.022830
1660	0.023140
1670	0.023300
1680	0.023610
1690	0.024140
1700	0.024200
1710	0.024730
1720	0.024850
1730	0.025090
1740	0.025630
1750	0.025660
1760	0.026010
1770	0.026270
1780	0.026410
1790	0.026630
1800	0.026980
1810	0.027420
1820	0.027710
1830	0.027990
1840	0.028230
1850	0.028420
1860	0.028830
1870	0.029640
1880	0.029400
1890	0.029710
1900	0.030020
1910	0.030270
1920	0.030610
1930	0.031510
1940	0.031270
1950	0.031570
1960	0.032060
1970	0.034760
1980	0.032800
1990	0.032950
2000	0.033480
2010	0.033570
2020	0.034060
2030	0.034800
2040	0.034690
2050	0.035020
2060	0.035350
2070	0.035630
2080	0.035960
2090	0.036720
2100	0.036690
2110	0.036940
2120	0.037540
2130	0.037800
2140	0.038080
2150	0.038360
2160	0.038630
2170	0.039110
2180	0.039580
2190	0.039910
2200	0.041450
2210	0.040610
2220	0.041490
2230	0.041880
2240	0.041760
2250	0.042020
2260	0.042520
2270	0.042710
2280	0.043220
2290	0.043530
2300	0.044030
2310	0.044160
2320	0.044720
2330	0.044840
2340	0.045420
2350	0.045720
2360	0.046230
2370	0.046570
2380	0.047170
2390	0.047250
2400	0.047890
2410	0.048100
2420	0.048930
2430	0.049220
2440	0.049540
2450	0.049620
2460	0.050010
2470	0.050350
2480	0.051330
2490	0.051700
2500	0.052050
2510	0.052470
2520	0.052840
2530	0.053180
2540	0.059580
2550	0.054180
2560	0.054330
2570	0.054770
2580	0.055320
2590	0.055800
2600	0.056160
2610	0.056130
2620	0.057130
2630	0.057440
2640	0.057800
2650	0.058460
2660	0.058660
2670	0.059170
2680	0.059740
2690	0.060680
2700	0.060830
2710	0.060630
2720	0.061480
2730	0.061580
2740	0.062030
2750	0.062670
2760	0.063430
2770	0.063310
2780	0.066420
2790	0.064300
2800	0.065280
2810	0.066530
2820	0.066090
2830	0.065990
2840	0.068680
2850	0.066920
2860	0.067690
2870	0.068700
2880	0.068520
2890	0.068890
2900	0.069430
2910	0.070230
2920	0.070460
2930	0.070880
2940	0.071440
2950	0.071850
2960	0.072430
2970	0.073350
2980	0.073670
2990	0.074640
3000	0.074500
3010	0.074770
3020	0.075540
3030	0.075840
3040	0.077460
3050	0.076900
3060	0.077910
3070	0.078010
3080	0.078550
3090	0.079250
3100	0.080310
3110	0.081350
3120	0.080640
3130	0.080940
3140	0.088080
3150	0.087130
3160	0.091290
3170	0.094620
3180	0.093150
3190	0.084280
3200	0.084890
3210	0.085380
3220	0.091830
3230	0.087820
3240	0.087170
3250	0.087900
3260	0.088260
3270	0.089490
3280	0.089170
3290	0.090330
3300	0.092290
3310	0.109830
3320	0.097520
3330	0.095410
3340	0.093500
3350	0.094310
3360	0.100410
3370	0.098970
3380	0.098550
3390	0.096310
3400	0.100210
3410	0.098520
3420	0.104130
3430	0.103210
3440	0.102400
3450	0.113940
3460	0.107050
3470	0.102270
3480	0.101950
3490	0.102210
3500	0.102500
3510	0.103220
3520	0.104200
3530	0.104250
3540	0.108740
3550	0.106060
3560	0.106200
3570	0.109400
3580	0.114230
3590	0.109510
3600	0.113380
3610	0.109970
3620	0.110940
3630	0.112660
3640	0.112110
3650	0.112500
3660	0.113750
3670	0.138620
3680	0.116250
3690	0.116380
3700	0.116210
3710	0.116500
3720	0.118360
3730	0.118370
3740	0.117360
3750	0.119280
3760	0.119450
3770	0.119600
3780	0.120740
3790	0.121670
3800	0.121590
3810	0.122410
3820	0.123630
3830	0.123460
3840	0.124360
3850	0.126510
3860	0.125770
3870	0.126480
3880	0.127230
3890	0.136250
3900	0.128100
3910	0.130030
3920	0.130320
3930	0.130370
3940	0.132280
3950	0.132510
3960	0.132670
3970	0.134510
3980	0.133410
3990	0.135330
4000	0.135830
4010	0.135510
4020	0.140490
4030	0.139240
4040	0.138620
4050	0.139650
4060	0.140650
4070	0.140750
4080	0.142030
4090	0.143100
4100	0.141790
4110	0.143120
4120	0.144210
4130	0.145160
4140	0.145260
4150	0.146140
4160	0.147390
4170	0.147600
4180	0.148300
4190	0.149330
4200	0.150880
4210	0.150200
4220	0.151810
4230	0.152240
4240	0.154610
4250	0.153830
4260	0.154360
4270	0.155680
4280	0.155840
4290	0.157940
4300	0.157810
4310	0.157160
4320	0.157840
4330	0.158980
4340	0.160410
4350	0.161260
4360	0.161800
4370	0.162480
4380	0.164160
4390	0.164360
4400	0.165100
4410	0.167620
4420	0.166550
4430	0.167390
4440	0.169240
4450	0.168920
4460	0.170120
4470	0.170670
4480	0.170550
4490	0.172010
4500	0.173910
4510	0.173900
4520	0.174730
4530	0.175330
4540	0.176720
4550	0.176820
4560	0.177830
4570	0.178900
4580	0.179040
4590	0.179970
4600	0.181700
4610	0.182730
4620	0.185670
4630	0.184440
4640	0.185370
4650	0.186520
4660	0.192150
4670	0.188400
4680	0.188940
4690	0.189190
