tamanho do vetor	tempo decorrido(mseg)
10	0.000040
20	0.000060
30	0.000070
40	0.000090
50	0.000060
60	0.000060
70	0.000080
80	0.000090
90	0.000100
100	0.000120
110	0.000140
120	0.000160
130	0.000200
140	0.000260
150	0.000230
160	0.000250
170	0.000280
180	0.000310
190	0.000340
200	0.000440
210	0.000450
220	0.000520
230	0.000570
240	0.000530
250	0.000570
260	0.000590
270	0.000740
280	0.000680
290	0.000750
300	0.001190
310	0.000910
320	0.000910
330	0.000940
340	0.001000
350	0.001060
360	0.001100
370	0.001380
380	0.001260
390	0.001310
400	0.001410
410	0.001430
420	0.002040
430	0.001760
440	0.002000
450	0.001800
460	0.001890
470	0.002080
480	0.001970
490	0.002650
500	0.002100
510	0.002180
520	0.002330
530	0.003150
540	0.002480
550	0.002580
560	0.002640
570	0.002720
580	0.002740
590	0.002920
600	0.002940
610	0.003120
620	0.003900
630	0.003390
640	0.003340
650	0.003520
660	0.003980
670	0.003660
680	0.004090
690	0.003870
700	0.003990
710	0.004210
720	0.004380
730	0.004490
740	0.004800
750	0.004690
760	0.004820
770	0.005030
780	0.005270
790	0.005270
800	0.005500
810	0.005610
820	0.005710
830	0.006040
840	0.006240
850	0.006260
860	0.006380
870	0.007060
880	0.007070
890	0.006870
900	0.007090
910	0.007230
920	0.007320
930	0.007880
940	0.007840
950	0.008430
960	0.008190
970	0.008330
980	0.008540
990	0.008620
1000	0.008840
1010	0.009610
1020	0.009120
1030	0.009270
1040	0.009620
1050	0.009810
1060	0.009890
1070	0.010360
1080	0.010320
1090	0.010620
1100	0.010940
1110	0.010900
1120	0.011220
1130	0.011380
1140	0.011590
1150	0.011820
1160	0.011970
1170	0.012350
1180	0.012460
1190	0.012670
1200	0.012860
1210	0.013300
1220	0.013620
1230	0.013640
1240	0.013900
1250	0.014190
1260	0.014260
1270	0.014620
1280	0.014950
1290	0.014950
1300	0.015530
1310	0.015510
1320	0.015650
1330	0.016170
1340	0.016570
1350	0.016860
1360	0.016840
1370	0.017280
1380	0.017230
1390	0.017430
1400	0.018680
1410	0.018040
1420	0.018540
1430	0.018460
1440	0.018900
1450	0.019230
1460	0.019480
1470	0.019830
1480	0.019890
1490	0.020670
1500	0.020680
1510	0.020850
1520	0.021010
1530	0.021260
1540	0.021520
1550	0.021720
1560	0.022380
1570	0.022370
1580	0.022690
1590	0.023120
1600	0.023460
1610	0.023700
1620	0.023890
1630	0.024520
1640	0.024540
1650	0.024750
1660	0.025250
1670	0.025340
1680	0.025660
1690	0.025980
1700	0.026750
1710	0.026750
1720	0.027230
1730	0.027480
1740	0.027750
1750	0.027910
1760	0.028160
1770	0.029020
1780	0.028960
1790	0.029290
1800	0.029570
1810	0.029900
1820	0.030360
1830	0.030530
1840	0.030900
1850	0.031150
1860	0.032280
1870	0.031960
1880	0.033050
1890	0.033390
1900	0.033120
1910	0.033830
1920	0.037060
1930	0.034950
1940	0.034910
1950	0.036020
1960	0.036340
1970	0.042720
1980	0.049170
1990	0.038040
2000	0.037220
