tamanho do vetor	tempo decorrido
100	0.000320
200	0.001160
300	0.002950
400	0.004970
500	0.009110
600	0.013670
700	0.017120
800	0.022350
900	0.029770
1000	0.037680
1100	0.044830
1200	0.054950
1300	0.065570
1400	0.074790
1500	0.089490
1600	0.100980
1700	0.117000
1800	0.129170
1900	0.159380
2000	0.179410
2100	0.194520
2200	0.225420
2300	0.219560
2400	0.240870
2500	0.262420
2600	0.291350
2700	0.311300
2800	0.333680
2900	0.358430
3000	0.386290
3100	0.416550
3200	0.443860
3300	0.478050
3400	0.509070
3500	0.541060
3600	0.574930
3700	0.612020
3800	0.646290
3900	0.687440
4000	0.733690
4100	0.782680
4200	0.817230
4300	0.855750
4400	0.899750
4500	0.946450
4600	0.993290
4700	1.045040
4800	1.095640
4900	1.149020
5000	1.187780
