tamanho do vetor	tempo decorrido
100	0.000370
200	0.001150
300	0.002560
400	0.006950
500	0.007740
600	0.012820
700	0.018290
800	0.023210
900	0.033290
1000	0.038900
1100	0.047740
1200	0.054270
1300	0.063190
1400	0.076110
1500	0.085810
1600	0.099200
1700	0.114960
1800	0.128050
1900	0.139000
2000	0.157940
2100	0.176250
2200	0.195650
2300	0.219390
2400	0.235800
2500	0.251660
2600	0.275810
2700	0.297810
2800	0.328670
2900	0.347100
3000	0.382990
3100	0.401220
3200	0.438250
3300	0.460730
3400	0.492980
3500	0.520720
3600	0.550760
3700	0.588420
3800	0.625220
3900	0.661570
4000	0.702710
4100	0.744410
4200	0.831450
4300	0.832750
4400	0.863660
4500	0.910620
4600	0.949740
4700	0.995590
4800	1.041770
4900	1.083600
5000	1.135390
