tamanho do vetor	tempo decorrido
100	0.000460
200	0.001320
300	0.002950
400	0.007070
500	0.009070
600	0.011870
700	0.018880
800	0.023690
900	0.034660
1000	0.040070
1100	0.048970
1200	0.056580
1300	0.078250
1400	0.084450
1500	0.100770
1600	0.115500
1700	0.112720
1800	0.126910
1900	0.140620
2000	0.157930
2100	0.174340
2200	0.193720
2300	0.208800
2400	0.232270
2500	0.249840
2600	0.275990
2700	0.309310
2800	0.320170
2900	0.343670
3000	0.371080
3100	0.396740
3200	0.427460
3300	0.468430
3400	0.485270
3500	0.514480
3600	0.548730
3700	0.589010
3800	0.618780
3900	0.655750
4000	0.696030
4100	0.731840
4200	0.770250
4300	0.803320
4400	0.847330
4500	0.889850
4600	0.930750
4700	0.991310
4800	1.033420
4900	1.067830
5000	1.116290
