tamanho do vetor	tempo decorrido
10	0.000020
20	0.000040
30	0.000040
40	0.000050
50	0.000070
60	0.000080
70	0.000090
80	0.000110
90	0.000130
100	0.000150
110	0.000160
120	0.000180
130	0.000190
140	0.000200
150	0.000220
160	0.000230
170	0.000240
180	0.000280
190	0.000270
200	0.000340
210	0.000360
220	0.000320
230	0.000380
240	0.000390
250	0.000390
260	0.000420
270	0.000430
280	0.000510
290	0.000510
300	0.000550
310	0.000620
320	0.000540
330	0.000640
340	0.000580
350	0.000670
360	0.000720
370	0.001150
380	0.000780
390	0.000720
400	0.000890
410	0.000770
420	0.000780
430	0.001160
440	0.000810
450	0.000790
460	0.001130
470	0.000870
480	0.000880
490	0.000990
500	0.001020
510	0.001000
520	0.001090
530	0.001010
540	0.001070
550	0.001050
560	0.001060
570	0.001170
580	0.001180
590	0.001190
600	0.001200
610	0.001680
620	0.001470
630	0.001880
640	0.001610
650	0.001310
660	0.001350
670	0.001380
680	0.001860
690	0.001500
700	0.001530
710	0.001530
720	0.001510
730	0.001400
740	0.001560
750	0.001510
760	0.001610
770	0.001950
780	0.001650
790	0.001770
800	0.001820
810	0.001800
820	0.002210
830	0.002120
840	0.001750
850	0.001770
860	0.001870
870	0.001820
880	0.001890
890	0.001880
900	0.001890
910	0.001910
920	0.001950
930	0.002390
940	0.002120
950	0.002170
960	0.002060
970	0.002060
980	0.001960
990	0.002110
1000	0.002330
1010	0.002230
1020	0.002250
1030	0.002570
1040	0.002410
1050	0.002370
1060	0.002400
1070	0.002330
1080	0.002190
1090	0.002420
1100	0.002340
1110	0.002600
1120	0.002310
1130	0.002560
1140	0.002710
1150	0.002760
1160	0.002640
1170	0.002700
1180	0.002590
1190	0.002720
1200	0.002560
1210	0.002800
1220	0.002650
1230	0.002710
1240	0.002800
1250	0.002690
1260	0.002640
1270	0.002800
1280	0.002790
1290	0.002960
1300	0.002830
1310	0.002860
1320	0.002800
1330	0.002980
1340	0.003060
1350	0.003310
1360	0.003180
1370	0.002990
1380	0.003090
1390	0.003260
1400	0.003140
1410	0.003210
1420	0.003250
1430	0.003310
1440	0.003170
1450	0.003170
1460	0.003710
1470	0.003570
1480	0.003240
1490	0.003800
1500	0.003220
1510	0.003520
1520	0.003530
1530	0.003500
1540	0.003570
1550	0.003530
1560	0.003440
1570	0.003620
1580	0.003680
1590	0.003630
1600	0.003620
1610	0.003770
1620	0.003790
1630	0.003780
1640	0.003740
1650	0.003930
1660	0.003940
1670	0.003960
1680	0.004200
1690	0.003920
1700	0.004300
1710	0.004050
1720	0.004210
1730	0.004060
1740	0.004230
1750	0.004080
1760	0.003980
1770	0.004180
1780	0.004800
1790	0.004420
1800	0.004710
1810	0.004270
1820	0.004250
1830	0.004180
1840	0.004240
1850	0.004820
1860	0.004520
1870	0.004730
1880	0.004520
1890	0.004330
1900	0.004260
1910	0.004450
1920	0.004600
1930	0.004250
1940	0.004440
1950	0.004730
1960	0.004640
1970	0.004750
1980	0.004550
1990	0.004630
2000	0.004720
2010	0.004780
2020	0.004890
2030	0.004740
2040	0.005060
2050	0.004650
2060	0.005030
2070	0.004980
2080	0.006010
2090	0.005170
2100	0.005210
2110	0.005020
2120	0.005190
2130	0.005220
2140	0.005700
2150	0.005010
2160	0.007190
2170	0.004950
2180	0.005640
2190	0.005600
2200	0.005380
2210	0.005220
2220	0.005270
2230	0.005380
2240	0.005500
2250	0.005620
2260	0.005360
2270	0.005630
2280	0.005870
2290	0.005480
2300	0.005760
2310	0.005500
2320	0.005500
2330	0.006110
2340	0.005720
2350	0.005910
2360	0.006780
2370	0.005790
2380	0.005450
2390	0.005570
2400	0.006030
2410	0.006450
2420	0.005930
2430	0.005840
2440	0.005710
2450	0.006100
2460	0.006560
2470	0.005710
2480	0.005880
2490	0.006190
2500	0.006180
2510	0.006280
2520	0.005890
2530	0.006010
2540	0.006310
2550	0.006230
2560	0.006160
2570	0.006230
2580	0.006120
2590	0.006370
2600	0.006230
2610	0.006880
2620	0.006140
2630	0.006510
2640	0.006710
2650	0.006470
2660	0.006110
2670	0.006830
2680	0.006750
2690	0.006650
2700	0.007350
2710	0.006610
2720	0.006740
2730	0.006560
2740	0.007480
2750	0.007130
2760	0.006570
2770	0.007000
2780	0.007010
2790	0.007280
2800	0.007310
2810	0.007060
2820	0.007140
2830	0.007140
2840	0.007120
2850	0.006980
2860	0.007290
2870	0.007530
2880	0.007230
2890	0.006890
2900	0.007500
2910	0.007860
2920	0.007590
2930	0.007200
2940	0.007180
2950	0.007710
2960	0.007910
2970	0.007620
2980	0.006860
2990	0.007440
3000	0.007540
3010	0.007530
3020	0.007910
3030	0.007650
3040	0.007680
3050	0.007640
3060	0.007770
3070	0.007340
3080	0.008140
3090	0.007800
3100	0.007640
3110	0.007600
3120	0.008690
3130	0.007700
3140	0.007810
3150	0.007940
3160	0.007950
3170	0.008040
3180	0.007840
3190	0.008060
3200	0.008820
3210	0.007600
3220	0.008370
3230	0.008170
3240	0.008150
3250	0.008880
3260	0.008510
3270	0.008860
3280	0.008540
3290	0.008890
3300	0.008140
3310	0.008530
3320	0.008340
3330	0.008630
3340	0.008250
3350	0.008700
3360	0.008460
3370	0.008560
3380	0.009250
3390	0.008690
3400	0.008990
3410	0.008460
3420	0.008770
3430	0.008580
3440	0.009110
3450	0.009730
3460	0.008600
3470	0.009200
3480	0.008900
3490	0.009740
3500	0.008970
3510	0.008540
3520	0.009030
3530	0.009290
3540	0.009700
3550	0.009080
3560	0.009290
3570	0.009550
3580	0.008820
3590	0.009160
3600	0.009500
3610	0.009650
3620	0.009640
3630	0.008790
3640	0.009730
3650	0.009240
3660	0.010240
3670	0.010210
3680	0.009430
3690	0.009820
3700	0.009640
3710	0.009430
3720	0.009730
3730	0.009570
3740	0.009750
3750	0.009650
3760	0.009780
3770	0.010850
3780	0.009750
3790	0.009730
3800	0.010300
3810	0.010040
3820	0.010370
3830	0.009790
3840	0.009730
3850	0.010430
3860	0.010100
3870	0.009980
3880	0.010670
3890	0.009920
3900	0.010250
3910	0.010370
3920	0.010900
3930	0.010630
3940	0.009690
3950	0.010910
3960	0.010210
3970	0.009980
3980	0.010290
3990	0.010380
4000	0.010530
4010	0.011260
4020	0.010770
4030	0.010070
4040	0.011270
4050	0.011100
4060	0.010420
4070	0.010100
4080	0.010210
4090	0.010420
4100	0.010700
4110	0.010980
4120	0.010550
4130	0.010340
4140	0.011000
4150	0.010970
4160	0.010580
4170	0.010470
4180	0.011190
4190	0.010970
4200	0.011220
4210	0.011040
4220	0.011170
4230	0.012090
4240	0.011030
4250	0.010770
4260	0.010800
4270	0.011290
4280	0.011190
4290	0.011910
4300	0.011090
4310	0.011180
4320	0.011780
4330	0.011360
4340	0.011180
4350	0.012250
4360	0.011620
4370	0.011570
4380	0.011730
4390	0.011800
4400	0.011340
4410	0.011840
4420	0.011730
4430	0.012520
4440	0.011730
4450	0.012030
4460	0.011840
4470	0.011770
4480	0.020110
4490	0.011950
4500	0.011930
4510	0.011500
4520	0.011590
4530	0.012030
4540	0.013420
4550	0.011860
4560	0.012010
4570	0.012330
4580	0.012270
4590	0.012720
4600	0.012280
4610	0.012070
4620	0.012110
4630	0.014060
4640	0.011310
4650	0.013370
4660	0.012110
4670	0.012320
4680	0.012270
4690	0.015370
4700	0.012110
4710	0.013670
4720	0.012260
4730	0.011910
4740	0.012290
4750	0.013340
4760	0.012660
4770	0.012790
4780	0.013270
4790	0.012670
4800	0.014010
4810	0.013260
4820	0.012760
4830	0.012580
4840	0.013050
4850	0.012550
4860	0.012830
4870	0.013680
4880	0.012620
4890	0.012760
4900	0.013460
4910	0.014480
4920	0.014390
4930	0.014390
4940	0.013150
4950	0.013400
4960	0.013130
4970	0.013010
4980	0.012430
4990	0.012910
5000	0.013510
